appid,is_eligible,exclusion_reason,evaluated_at,appdetails_status,app_type,search_release_date,store_release_date_raw,store_release_date,release_date_status
2810550,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-08-06,"Aug 6, 2025",2025-08-06,exact_match
2811530,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-09-09,"Sep 9, 2025",2025-09-09,exact_match
2811780,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-10-22,"Oct 22, 2025",2025-10-22,exact_match
2812380,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-12-25,"Dec 25, 2025",2025-12-25,exact_match
2812420,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-09-17,"Sep 17, 2025",2025-09-17,exact_match
2812670,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-07-13,"Jul 13, 2025",2025-07-13,exact_match
2813900,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-10-27,"Oct 27, 2025",2025-10-27,exact_match
2815060,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-11-07,"Nov 7, 2025",2025-11-07,exact_match
2815080,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-07-18,"Jul 18, 2025",2025-07-18,exact_match
2815570,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-12-18,"Dec 18, 2025",2025-12-18,exact_match
2816270,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-12-08,"Dec 8, 2025",2025-12-08,exact_match
2816410,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-10-21,"Oct 21, 2025",2025-10-21,exact_match
2816740,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-09-18,"Sep 18, 2025",2025-09-18,exact_match
2817420,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-11-17,"Nov 17, 2025",2025-11-17,exact_match
2817920,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-07-17,"Jul 17, 2025",2025-07-17,exact_match
2818010,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-09-02,"Sep 2, 2025",2025-09-02,exact_match
2818130,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-10-30,"Oct 30, 2025",2025-10-30,exact_match
2819730,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-11-10,"Nov 10, 2025",2025-11-10,exact_match
2819920,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-08-19,"Aug 19, 2025",2025-08-19,exact_match
2820450,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-08-19,"Aug 19, 2025",2025-08-19,exact_match
2820700,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-09-19,"Sep 19, 2025",2025-09-19,exact_match
2820820,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-09-03,"Sep 3, 2025",2025-09-03,exact_match
2821450,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-08-04,"Aug 4, 2025",2025-08-04,exact_match
2821610,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-08-12,"Aug 12, 2025",2025-08-12,exact_match
2821700,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-07-09,"Jul 9, 2025",2025-07-09,exact_match
2821800,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-07-17,"Jul 17, 2025",2025-07-17,exact_match
2821930,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-10-09,"Oct 9, 2025",2025-10-09,exact_match
2823690,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-11-17,"Nov 17, 2025",2025-11-17,exact_match
2823790,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-11-25,"Nov 25, 2025",2025-11-25,exact_match
2824020,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-08-26,"Aug 26, 2025",2025-08-26,exact_match
2824320,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-10-27,"Oct 27, 2025",2025-10-27,exact_match
2824490,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-07-17,"Jul 17, 2025",2025-07-17,exact_match
2824660,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-12-03,"Dec 3, 2025",2025-12-03,exact_match
2824780,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-09-24,"Sep 24, 2025",2025-09-24,exact_match
2824790,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-08-24,"Aug 24, 2025",2025-08-24,exact_match
2825080,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-10-24,"Oct 24, 2025",2025-10-24,exact_match
2825130,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-08-16,"Aug 16, 2025",2025-08-16,exact_match
2825390,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-08-07,"Aug 7, 2025",2025-08-07,exact_match
2825880,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-12-09,"Dec 9, 2025",2025-12-09,exact_match
2826670,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-08-07,"Aug 7, 2025",2025-08-07,exact_match
2827080,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-09-22,"Sep 22, 2025",2025-09-22,exact_match
2827200,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-10-27,"Oct 27, 2025",2025-10-27,exact_match
2827680,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-07-11,"Jul 11, 2025",2025-07-11,exact_match
2827960,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-10-22,"Oct 22, 2025",2025-10-22,exact_match
2829140,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-10-01,"Oct 1, 2025",2025-10-01,exact_match
2829290,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-12-12,"Dec 12, 2025",2025-12-12,exact_match
2829430,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-08-13,"Aug 13, 2025",2025-08-13,exact_match
2829700,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-11-13,"Nov 13, 2025",2025-11-13,exact_match
2829750,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-08-21,"Aug 21, 2025",2025-08-21,exact_match
2830200,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-07-11,"Jul 11, 2025",2025-07-11,exact_match
2831070,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-11-03,"Nov 3, 2025",2025-11-03,exact_match
2831900,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-07-11,"Jul 11, 2025",2025-07-11,exact_match
2832070,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-07-21,"Jul 21, 2025",2025-07-21,exact_match
