"model","days_since_release","predicted_probability"
"Natural spline df=3",282.668341708543,0.825508056118395
"Natural spline df=3",283.587939698492,0.826312975118561
"Natural spline df=3",284.507537688442,0.827096726716878
"Natural spline df=3",285.427135678392,0.827858904446905
"Natural spline df=3",286.346733668342,0.828599105153713
"Natural spline df=3",287.266331658291,0.829316928452436
"Natural spline df=3",288.185929648241,0.83001197617384
"Natural spline df=3",289.105527638191,0.830683851796966
"Natural spline df=3",290.025125628141,0.831332159868873
"Natural spline df=3",290.94472361809,0.831956505411505
"Natural spline df=3",291.86432160804,0.832556493315641
"Natural spline df=3",292.78391959799,0.833131727721874
"Natural spline df=3",293.70351758794,0.833681811388531
"Natural spline df=3",294.623115577889,0.834206345046415
"Natural spline df=3",295.542713567839,0.834704926740196
"Natural spline df=3",296.462311557789,0.835177151156281
"Natural spline df=3",297.381909547739,0.835622608936926
"Natural spline df=3",298.301507537688,0.836040885980319
"Natural spline df=3",299.221105527638,0.836431562726366
"Natural spline df=3",300.140703517588,0.836794213427824
"Natural spline df=3",301.060301507538,0.837128405406426
"Natural spline df=3",301.979899497487,0.837433698293601
"Natural spline df=3",302.899497487437,0.837709643255352
"Natural spline df=3",303.819095477387,0.837955782200828
"Natural spline df=3",304.738693467337,0.838171646974085
"Natural spline df=3",305.658291457286,0.838356758528518
"Natural spline df=3",306.577889447236,0.83851062608339
"Natural spline df=3",307.497487437186,0.838632746261873
"Natural spline df=3",308.417085427136,0.838722602209998
"Natural spline df=3",309.336683417085,0.83877966269585
"Natural spline df=3",310.256281407035,0.838803381188365
"Natural spline df=3",311.175879396985,0.838793194915034
"Natural spline df=3",312.095477386935,0.838748523897824
"Natural spline df=3",313.015075376884,0.838668769967801
"Natural spline df=3",313.934673366834,0.838553603802881
"Natural spline df=3",314.854271356784,0.838403774459129
"Natural spline df=3",315.773869346734,0.838220276663664
"Natural spline df=3",316.693467336683,0.838004091801574
"Natural spline df=3",317.613065326633,0.83775618965598
"Natural spline df=3",318.532663316583,0.837477530090017
"Natural spline df=3",319.452261306533,0.83716906467179
"Natural spline df=3",320.371859296482,0.836831738243253
"Natural spline df=3",321.291457286432,0.836466490433831
"Natural spline df=3",322.211055276382,0.836074257119505
"Natural spline df=3",323.130653266332,0.835655971827956
"Natural spline df=3",324.050251256281,0.835212567090273
"Natural spline df=3",324.969849246231,0.834744975739597
"Natural spline df=3",325.889447236181,0.834254132157003
"Natural spline df=3",326.809045226131,0.833740973464795
"Natural spline df=3",327.72864321608,0.833206440667326
"Natural spline df=3",328.64824120603,0.832651479739343
"Natural spline df=3",329.56783919598,0.832077042661791
"Natural spline df=3",330.48743718593,0.831484088404931
"Natural spline df=3",331.407035175879,0.830873583858553
"Natural spline df=3",332.326633165829,0.83024650470902
"Natural spline df=3",333.246231155779,0.829603836262795
"Natural spline df=3",334.165829145729,0.828946574216084
"Natural spline df=3",335.085427135678,0.828275725370156
"Natural spline df=3",336.005025125628,0.827592308291901
"Natural spline df=3",336.924623115578,0.826897353919116
"Natural spline df=3",337.844221105528,0.826191906110034
"Natural spline df=3",338.763819095477,0.825477022136536
"Natural spline df=3",339.683417085427,0.824753773120556
"Natural spline df=3",340.603015075377,0.8240232444131
"Natural spline df=3",341.522613065327,0.823286535915369
"Natural spline df=3",342.442211055276,0.822544762341454
"Natural spline df=3",343.361809045226,0.821799053422093
"Natural spline df=3",344.281407035176,0.82105055404899
"Natural spline df=3",345.201005025126,0.82030042435924
"Natural spline df=3",346.120603015075,0.819549839759406
"Natural spline df=3",347.040201005025,0.818799990888855
"Natural spline df=3",347.959798994975,0.818052083521956
"Natural spline df=3",348.879396984925,0.817307338408823
"Natural spline df=3",349.798994974874,0.816566991054297
"Natural spline df=3",350.718592964824,0.815832291434904
"Natural spline df=3",351.638190954774,0.815104503653585
"Natural spline df=3",352.557788944724,0.814384905532024
"Natural spline df=3",353.477386934673,0.813674788140427
"Natural spline df=3",354.396984924623,0.812975455264691
"Natural spline df=3",355.316582914573,0.812288222810893
"Natural spline df=3",356.236180904523,0.811614418147102
"Natural spline df=3",357.155778894472,0.81095537938253
"Natural spline df=3",358.075376884422,0.810312454584098
"Natural spline df=3",358.994974874372,0.809687000930504
"Natural spline df=3",359.914572864322,0.809080383803902
"Natural spline df=3",360.834170854271,0.808493975819362
"Natural spline df=3",361.753768844221,0.807929155792256
"Natural spline df=3",362.673366834171,0.807387307643758
"Natural spline df=3",363.592964824121,0.806869819244671
"Natural spline df=3",364.51256281407,0.806378081197764
"Natural spline df=3",365.43216080402,0.805913485558846
"Natural spline df=3",366.35175879397,0.805477424496801
"Natural spline df=3",367.27135678392,0.805071288892786
"Natural spline df=3",368.190954773869,0.804696466878821
"Natural spline df=3",369.110552763819,0.804354342315984
"Natural spline df=3",370.030150753769,0.804046293212429
"Natural spline df=3",370.949748743719,0.80377369008143
"Natural spline df=3",371.869346733668,0.803537894239676
"Natural spline df=3",372.788944723618,0.803340256046018
"Natural spline df=3",373.708542713568,0.803182113080915
"Natural spline df=3",374.628140703518,0.803064788266801
"Natural spline df=3",375.547738693467,0.802989522268262
"Natural spline df=3",376.467336683417,0.802956537297565
"Natural spline df=3",377.386934673367,0.802965256622819
"Natural spline df=3",378.306532663317,0.803015062872999
"Natural spline df=3",379.226130653266,0.803105319550765
"Natural spline df=3",380.145728643216,0.803235371992918
"Natural spline df=3",381.065326633166,0.80340454831832
"Natural spline df=3",381.984924623116,0.803612160363147
"Natural spline df=3",382.904522613065,0.803857504603375
"Natural spline df=3",383.824120603015,0.804139863064438
"Natural spline df=3",384.743718592965,0.804458504217984
"Natural spline df=3",385.663316582915,0.804812683865726
"Natural spline df=3",386.582914572864,0.805201646010324
"Natural spline df=3",387.502512562814,0.805624623713312
"Natural spline df=3",388.422110552764,0.806080839940025
"Natural spline df=3",389.341708542714,0.806569508391523
"Natural spline df=3",390.261306532663,0.807089834323469
"Natural spline df=3",391.180904522613,0.807641015351948
"Natural spline df=3",392.100502512563,0.808222242246163
"Natural spline df=3",393.020100502513,0.808832699707961
"Natural spline df=3",393.939698492462,0.80947156713812
"Natural spline df=3",394.859296482412,0.81013801938931
"Natural spline df=3",395.778894472362,0.810831227505627
"Natural spline df=3",396.698492462312,0.811550359448584
"Natural spline df=3",397.618090452261,0.812294580809432
"Natural spline df=3",398.537688442211,0.813063055507646
"Natural spline df=3",399.457286432161,0.813854946475434
"Natural spline df=3",400.376884422111,0.814669416328068
"Natural spline df=3",401.29648241206,0.815505628019857
"Natural spline df=3",402.21608040201,0.81636274548554
"Natural spline df=3",403.13567839196,0.817239934266896
"Natural spline df=3",404.05527638191,0.818136362124325
"Natural spline df=3",404.974874371859,0.819051199633167
"Natural spline df=3",405.894472361809,0.819983620764506
"Natural spline df=3",406.814070351759,0.820932803450216
"Natural spline df=3",407.733668341709,0.821897930131977
"Natural spline df=3",408.653266331658,0.822878188294012
"Natural spline df=3",409.572864321608,0.823872770979274
"Natural spline df=3",410.492462311558,0.824880877288841
"Natural spline df=3",411.412060301507,0.825901712864245
"Natural spline df=3",412.331658291457,0.826934490352503
"Natural spline df=3",413.251256281407,0.827978429853592
"Natural spline df=3",414.170854271357,0.829032759350154
"Natural spline df=3",415.090452261306,0.830096715119194
"Natural spline df=3",416.010050251256,0.831169542125575
