"days","log_days_covariate","offset","nonlinear_log_days"
337.504201680672,117.245308528083,117.597512273061,138.759139142285
339.042016806723,117.649029377508,118.052923730965,139.887106251316
340.579831932773,118.052346584123,118.508079968966,140.987654024946
342.117647058824,118.45526246239,118.962982411358,142.057748982372
343.655462184874,118.857779303022,119.417632468011,143.094372195164
345.193277310924,119.259899373337,119.872031534573,144.094526199653
346.731092436975,119.661624917596,120.326180992681,145.055242230855
348.268907563025,120.062958157343,120.780082210165,145.973587740967
349.806722689076,120.463901291732,121.233736541244,146.846674163556
351.344537815126,120.864456497855,121.687145326722,147.671664882791
352.882352941176,121.264625931056,122.140309894182,148.44578336539
354.420168067227,121.664411725242,122.593231558171,149.166321411431
355.957983193277,122.063815993193,123.045911620385,149.830647478845
357.495798319328,122.46284082686,123.498351369853,150.436215035269
359.033613445378,122.861488297659,123.950552083111,150.980570889993
360.571428571429,123.259760456762,124.402515024378,151.461363458105
362.109243697479,123.65765933538,124.854241445731,151.876350908478
363.647058823529,124.055186945042,125.305732587265,152.223409147158
365,124.404618930291,125.702752527971,152.470984445615
365.18487394958,124.452345277867,125.756989677268,152.500539587829
366.72268907563,124.849136306837,126.208013932374,152.70587666153
368.260504201681,125.245561986058,126.658806557731,152.837695018531
369.798319327731,125.641624251019,127.109368747151,152.894416376405
371.336134453782,126.037325018848,127.559701683267,152.874615969705
372.873949579832,126.43266618856,128.009806537683,152.77702855837
374.411764705882,126.827649641308,128.459684471122,152.60109565459
375.949579831933,127.222277240614,128.909336633573,152.349163605595
377.487394957983,127.616550832619,129.358764164433,152.024513242249
379.025210084034,128.010472246306,129.80796819265,151.630448762099
380.563025210084,128.404043293734,130.256949836857,151.170284634422
382.100840336134,128.797265770257,130.705710205513,150.647333756108
383.638655462185,129.190141454756,131.154250397031,150.064896468537
385.176470588235,129.582672109844,131.602571499917,149.426250427975
386.714285714286,129.974859482088,132.050674592889,148.734641316713
388.252100840336,130.366705302214,132.498560745013,147.993274377512
389.789915966387,130.758211285316,132.946231015824,147.205306749855
391.327731092437,131.149379131056,133.393686455446,146.37384058309
392.865546218487,131.540210523869,133.840928104719,145.501916898677
394.403361344538,131.930707133152,134.287956995308,144.592510171344
395.941176470588,132.320870613461,134.734774149833,143.64852359718
397.478991596639,132.7107026047,135.181380581968,142.672785015176
399.016806722689,133.100204732305,135.627777296569,141.668043447802
400,133.349058560236,135.913069031351,141.011701847062
400.55462184874,133.489378607432,136.073965289772,140.636966225503
402.09243697479,133.878225827131,136.51994554911,139.582136659742
403.63025210084,134.26674797453,136.965719053618,138.506052229178
405.168067226891,134.654946619003,137.411286773939,137.411123243855
406.705882352941,135.042823316349,137.856649672426,136.299671952749
408.243697478992,135.430379608952,138.301808703247,135.173932060719
409.781512605042,135.817617025953,138.746764812483,134.036048621765
411.319327731092,136.204537083413,139.191518938228,132.88807827651
412.857142857143,136.591141284471,139.636072010687,131.731989802942
414.394957983193,136.977431119505,140.080424952272,130.569664950667
415.932773109244,137.363408066286,140.524578677692,129.402899530233
417.470588235294,137.749073590132,140.968534094053,128.233404730429
419.008403361345,138.134429144059,141.412292100944,127.062808637842
420.546218487395,138.519476168926,141.855853590528,125.892657934385
422.084033613445,138.904216093588,142.299219447632,124.72441974992
423.621848739496,139.288650335034,142.742390549831,123.559483648522
425.159663865546,139.672780298528,143.185367767538,122.39916372833
426.697478991597,140.056607377754,143.628151964086,121.244700816319
428.235294117647,140.440132954948,144.07074399581,120.097264740684
429.773109243697,140.823358401036,144.513144712132,118.957956664827
430,140.879874535341,144.578400804374,118.790613653714
431.310924369748,141.206285075765,144.955354955639,117.827811468237
432.848739495798,141.588914327833,145.397375562163,116.70780016076
434.386554621849,141.971247495025,145.83920736086,115.598832317942
435.924369747899,142.353285904329,146.280851174287,114.501758526254
437.46218487395,142.735030872072,146.722307818478,113.417372828094
439,143.116483704034,147.163578103014,112.346415157447
