"appid","observed","fitted","pearson_residual"
2622330,2,161.624666090947,-0.401740118598268
2632690,6,371.061542357243,-0.371898263063618
2642760,339,65.7032810202694,1.86197159577265
2643010,135,130.07525873723,0.0157323783487874
2643880,32,826.668707134669,-0.341898082202466
2644020,26,225.01389268023,-0.348914944430706
2644280,8,35.055649848553,-0.374717620515457
2651090,23,334.710790942655,-0.355031471633058
2653120,15,455.521034756079,-0.359617168115376
2653470,447,304.89536250797,0.179074444786188
2656440,5,478.309296265926,-0.366573104965289
2659530,5,436.279076684678,-0.368853329442088
2659840,5,2264.17093256981,-0.332024144908842
2673560,8,199.011313008486,-0.382878135962431
2673790,1,78.0763968140906,-0.433158496719025
2676040,3,281.705752049478,-0.382691387266387
2676220,13,1053.70988988724,-0.345374378821078
2679310,2,141.491086469016,-0.406243727037999
2685840,214,2150.54904642831,-0.300599415101242
2687280,10,145.213848624265,-0.382713085080792
2687400,809,509.169375517591,0.217087608425206
2689930,431,355.104625087727,0.0810818700791646
2691210,14,88.9507794725959,-0.364381630197391
2691340,1,62.6046595414808,-0.443030054498418
2692990,2303,408.997809787997,1.73680368310677
2695430,879,900.56310342218,-0.00846468391490121
2701070,17,521.066889367651,-0.355995702397642
2701720,1534,995.666231362055,0.189807551817575
2701800,624,1283.45958272798,-0.177296827413538
2705860,277,393.474268905145,-0.11136645244171
2707080,6,668.730223389366,-0.357925255910762
2714970,547,252.765890011292,0.454516523722945
2715940,9,7503.49106253458,-0.310421415299591
2717150,7,38.7038797266641,-0.392255734136293
2719740,432,1498.61263289413,-0.243098222484188
2722610,78,42.7825983787254,0.388879411890171
2722680,76,13.3585750670671,2.67590351946316
2725250,158,3211.71097705325,-0.309814535139458
2726960,29,532.782048190772,-0.347379030867819
2727660,273,156.907932397686,0.301819267479314
2730810,1048,2065.49875028807,-0.164856327131113
2730970,1,152.503914752613,-0.406376050484478
2731330,604,1020.57133102397,-0.143047791827703
2738630,1366,2373.82523180225,-0.140866512931138
2739150,47,1779.02230806788,-0.328886620646999
2740170,199,3170.32705769231,-0.305624125984012
2747330,9353,632.851102984309,4.99689165204585
2749000,726,150.882855538452,1.56081875194967
2749690,29,1408.60967747974,-0.335883544059827
2750780,4205,361.017158468683,4.03395053827528
2751920,1,170.402519147002,-0.402353729085674
2760580,208,1496.77200565131,-0.294116668916151
2764590,271,3763.8176109268,-0.299608352457831
2774180,31,81.3487105156661,-0.270316454755422
2776450,2583,597.384765460369,1.21056474317102
2779730,10,610.724849566847,-0.357650699939652
2780980,16566,581.498837614756,10.0317594308825
2780990,23,625.895740061672,-0.349602594532212
2783460,2,229.663128093459,-0.390349282620896
2784120,3,11.7604760891511,-0.436339485501937
2784440,20,665.650036113444,-0.350433323485077
2786550,822,442.548513679288,0.319569560044492
2786660,27,3284.43420653173,-0.322741907350603
2787680,30,243.944121152974,-0.343510337775271
2788430,21,532.733067910871,-0.352896517144094
2790160,31,647.935035270951,-0.344688734086949
2797650,133,232.337359565103,-0.168189061745892
2806120,308,1777.28526326456,-0.279286573205673
2807240,18,161.830486361223,-0.361485180818488
2808530,24,682.097304809295,-0.34795136414447
2810550,139,470.872811471552,-0.261410525859769
2812670,62,435.729456702228,-0.320068870593023
2813900,13,952.23535431116,-0.347335871334792
2815080,14,996.172184416683,-0.346109569114494
2815570,2,168.375458887284,-0.400375743000377
2819920,21,619.154458482961,-0.350912689197008
2820450,3,291.722059419954,-0.381692040348021
2821700,6,1121.04485188939,-0.346350023465706
2823790,20,891.739659729111,-0.34583014294813
2824490,3818,881.6940680663,1.17908150707877
2824780,62,234.015430596561,-0.288967671161551
2825880,1288,439.399159163415,0.720210123273775
2826670,10,59.8994588258201,-0.377062867757872
2827080,58,571.250411735431,-0.328331273136658
2827200,8339,649.656863061368,4.28389739692336
2831070,1,154.155081135481,-0.40598086645585
2835650,97,485.0157583011,-0.29603809235835
2836300,45,158.164193341992,-0.291646311075218
2845770,5,708.958907068868,-0.357086886213693
2848680,6,66.7814889236415,-0.406635678804918
2851640,26,597.032453217273,-0.348360683652126
2854980,7,98.0619112297967,-0.397349800445638
2857670,2,23.060388817908,-0.472440039231794
2860040,1,92.1710554665486,-0.426093421434765
2863790,36,191.895542477226,-0.325165543472636
2865380,9,856.016736242876,-0.35105611784771
2870530,346,1714.30929453158,-0.270267774873072
2870920,1630,3198.92432858807,-0.159849056942947
2871820,45,15.3820406565437,1.06911759238034
2873860,36,56.3344883712487,-0.164611664995494
2875000,2,225.308928295125,-0.390950932253546
2876200,43,941.712470613765,-0.336324276310591
2877170,1241,1311.76809838208,-0.0185885582263582
2877660,164,621.188901522988,-0.267270200861985
2878450,3807,704.456628197019,1.58457620001779
2879980,277,415.140288023731,-0.124652012935771
2881170,1,56.7677917758526,-0.447582418271871
2886690,2,22.0236897377252,-0.473880035037074
2886700,6,502.516259808858,-0.364623974021193
2891580,16,112.925076501806,-0.361842415098546
2892040,41,420.724523304658,-0.337739618547295
2892560,2,409.325650419763,-0.373195319612577
2893530,25,270.02720234739,-0.35227959697818
2893820,6044,2062.19043427124,0.646236855583778
2896350,6,865.621210745302,-0.35204922074792
2896570,42,885.260022145512,-0.337153480869299
2897520,3,789.134762979499,-0.355491525768361
2899300,1,100.029807091317,-0.422717469480999
2902440,130,192.29212447525,-0.129635658232132
2903160,463,900.508803827128,-0.171756942143287
2903240,16,1908.41329906068,-0.333495432305937
2904360,29,463.384811802833,-0.348122563000584
2904420,26,432.082694521599,-0.35094553127525
2905160,2,116.778179183858,-0.412919777441547
2905650,5,1015.69302349383,-0.348847276627957
2906270,54,182.450017082932,-0.283115160737329
2908050,1195,133.296993789643,3.30159479763016
2908500,686,1014.95711460659,-0.113629692350547
2908830,10,792.165016279868,-0.352246649600368
2909870,46,540.648141372994,-0.335742385580902
2912770,14,527.66868311293,-0.357892585959571
2914490,57,1509.44173415726,-0.328506055895949
2915660,175,975.883984054403,-0.288503189480076
2917040,1573,756.081348209461,0.386750056207425
2920010,13,200.404341071954,-0.372798345238549
2920510,56,560.213411336664,-0.329390894555721
2923120,4,485.089966987032,-0.36698889820321
2924080,9,51.0415164599465,-0.380290525276307
2925970,371,1077.42067581264,-0.228927618989415
2928690,107,182.919749428672,-0.166864036896449
2929880,3,200.394810788374,-0.392692497864683
2930290,25,865.796615834383,-0.344265107901265
2931620,219,92.6875398343791,0.586682832395075
2932990,21,297.409197966969,-0.357839222112605
2934220,2698,100.300831682505,11.0553544390457
2936470,10,118.410766804162,-0.384087005303107
2937090,155,189.746974350535,-0.0733720151739525
2937770,17,2762.04381617258,-0.326747536967972
2943250,2,291.978711381213,-0.382987695857304
2943420,256,884.36880272659,-0.251506371391317
2943670,288,1471.6985865403,-0.275042421370577
2948470,5,274.198906082919,-0.38063953020205
2949560,2,42.9737480066342,-0.450162529584908
2952970,34,108.984590490525,-0.291130195216449
2955840,49,178.213977397224,-0.292210612835451
2957700,1300,1715.33159649427,-0.0819840782518143
