"appid","review_count","attention_tier","high_attention_100","is_free","current_price_usd","days_since_release","log_days","platform_segment","genre_action","genre_adventure","genre_casual","genre_indie","genre_rpg","genre_simulation","genre_strategy","tier_price_spline_1","tier_price_spline_2","tier_price_spline_3"
4033820,3,"Tier1",0,0,0.99,331,5.80211837537706,"Windows only",0,0,1,1,0,0,1,-0.10419428022306,-0.415443396766967,0.223507912183871
4034000,178,"Tier3",1,0,4.99,306,5.72358510195238,"Windows only",1,1,0,1,0,1,0,-0.097980093369211,0.0172174383899374,-0.00980705605692289
4034390,2,"Tier1",0,0,3.99,275,5.61677109766657,"Windows only",0,0,1,1,0,0,1,-0.163294420304253,0.0039253576640299,-0.00263922125326072
4035130,18,"Tier2",0,0,2.99,328,5.79301360838414,"Windows only",0,1,1,1,0,0,0,-0.200102891281294,-0.0515775081764219,0.0272910343386091
4035270,4621,"Tier4",1,0,2.99,268,5.59098698051086,"Windows only",0,0,1,0,0,0,0,-0.200102891281294,-0.0515775081764219,0.0272910343386091
4035390,1,"Tier1",0,0,2.99,337,5.82008293035236,"Windows only",1,0,0,1,0,0,0,-0.200102891281294,-0.0515775081764219,0.0272910343386091
4036810,2,"Tier1",0,0,0.99,339,5.82600010738045,"Windows only",0,1,1,1,0,1,1,-0.10419428022306,-0.415443396766967,0.223507912183871
4037070,2,"Tier1",0,0,1.99,271,5.6021188208797,"Windows only",0,0,1,1,0,0,0,-0.191000956662677,-0.174609008555128,0.0936365139174693
4037590,3,"Tier1",0,0,0.99,335,5.81413053182507,"Windows + macOS",1,0,0,1,0,0,0,-0.10419428022306,-0.415443396766967,0.223507912183871
4037960,5,"Tier1",0,0,1.99,290,5.66988092298052,"Windows + macOS + Linux",0,0,1,1,0,1,0,-0.191000956662677,-0.174609008555128,0.0936365139174693
4038000,5,"Tier1",0,0,2.99,340,5.82894561761021,"Windows + macOS + Linux",0,0,0,1,0,0,0,-0.200102891281294,-0.0515775081764219,0.0272910343386091
4038570,2,"Tier1",0,0,2.99,338,5.82304589548302,"Windows + macOS",0,0,1,1,0,1,0,-0.200102891281294,-0.0515775081764219,0.0272910343386091
4038680,14,"Tier2",0,0,19.99,272,5.605802066296,"Windows only",1,0,0,0,0,0,0,0.443367319783897,-0.198158365479033,0.23384151956249
4038910,5,"Tier1",0,0,7.99,320,5.76832099579377,"Windows + macOS",1,0,0,1,0,0,0,0.138467671971053,-0.0461391003521592,0.0300758282519593
4039840,16,"Tier2",0,0,2.99,317,5.75890177387728,"Windows only",0,0,1,0,0,0,0,-0.200102891281294,-0.0515775081764219,0.0272910343386091
4040220,1,"Tier1",0,0,2.5,339,5.82600010738045,"Windows only",0,0,0,0,0,0,1,-0.202901925565326,-0.101150755470328,0.0540237073196894
4041280,8,"Tier1",0,0,4.99,289,5.66642668811243,"Windows only",1,1,0,1,0,0,0,-0.097980093369211,0.0172174383899374,-0.00980705605692289
4041800,1,"Tier1",0,0,4.99,334,5.8111409929767,"Windows only",0,1,1,1,1,0,0,-0.097980093369211,0.0172174383899374,-0.00980705605692289
4041870,4,"Tier1",0,0,4.99,324,5.78074351579233,"Windows only",1,0,0,1,0,0,0,-0.097980093369211,0.0172174383899374,-0.00980705605692289
4042100,1,"Tier1",0,0,3.99,291,5.67332326717149,"Windows only",1,0,1,0,0,0,0,-0.163294420304253,0.0039253576640299,-0.00263922125326072
