appid,genre_id,genre_name
1989960,1,Action
1989960,23,Indie
1989960,37,Free To Play
1989960,4,Casual
1989960,9,Racing
1990780,23,Indie
1990780,3,RPG
1990780,37,Free To Play
1990780,4,Casual
1995980,23,Indie
1995980,4,Casual
2000780,1,Action
2000780,23,Indie
2000780,25,Adventure
2000970,1,Action
2000970,2,Strategy
2000970,23,Indie
2000970,25,Adventure
2012510,1,Action
2012510,2,Strategy
2012510,37,Free To Play
2016460,23,Indie
2016460,28,Simulation
2016460,3,RPG
2016460,4,Casual
2018960,1,Action
2018960,23,Indie
2018960,25,Adventure
2018960,28,Simulation
2018960,3,RPG
2021390,1,Action
2021390,23,Indie
2021390,70,Early Access
2022230,2,Strategy
2022230,23,Indie
2025870,1,Action
2025870,23,Indie
2025870,70,Early Access
2055400,2,Strategy
2055400,4,Casual
2058140,1,Action
2058140,23,Indie
2058140,25,Adventure
2058140,4,Casual
2060160,2,Strategy
2060160,23,Indie
2060160,28,Simulation
2060160,4,Casual
2068630,1,Action
2068630,2,Strategy
2068630,23,Indie
2068630,37,Free To Play
2068630,4,Casual
2068630,70,Early Access
2070860,23,Indie
2070860,25,Adventure
2070860,4,Casual
2072560,1,Action
2072560,37,Free To Play
2074740,23,Indie
2074740,25,Adventure
2074740,3,RPG
2074740,4,Casual
2076520,1,Action
2076520,23,Indie
2076520,25,Adventure
2077750,18,Sports
2077750,28,Simulation
2077750,9,Racing
2081880,29,Massively Multiplayer
2081880,3,RPG
2081880,70,Early Access
2085620,1,Action
2085620,23,Indie
2085620,25,Adventure
2085620,3,RPG
2092170,1,Action
2092170,23,Indie
2094910,2,Strategy
2094910,23,Indie
2094910,4,Casual
2099220,1,Action
2099220,2,Strategy
2099220,23,Indie
2099220,4,Casual
2105620,1,Action
2112750,1,Action
2112750,23,Indie
2112750,25,Adventure
2115390,1,Action
2115390,23,Indie
2115390,25,Adventure
2115490,1,Action
2115490,23,Indie
2115490,25,Adventure
2117370,1,Action
2117370,2,Strategy
2117370,23,Indie
2117370,3,RPG
2117370,4,Casual
2122880,23,Indie
2122880,25,Adventure
2122880,4,Casual
2124150,1,Action
2124150,2,Strategy
2126190,23,Indie
2126190,25,Adventure
2126190,4,Casual
2128430,1,Action
2128430,2,Strategy
2128430,23,Indie
2128430,25,Adventure
2128430,28,Simulation
2128430,3,RPG
2128430,70,Early Access
2131550,1,Action
2131550,18,Sports
2131550,23,Indie
2131550,29,Massively Multiplayer
2131550,37,Free To Play
2131550,4,Casual
2135960,1,Action
2140810,23,Indie
2140810,28,Simulation
2140810,4,Casual
2143760,23,Indie
2143760,25,Adventure
2151380,1,Action
2151380,2,Strategy
2151380,23,Indie
2151380,25,Adventure
2151380,3,RPG
2158690,1,Action
2158690,23,Indie
2158690,25,Adventure
2158690,3,RPG
2165140,1,Action
2165140,25,Adventure
2165140,28,Simulation
2167530,1,Action
2167530,23,Indie
2167530,25,Adventure
2167530,4,Casual
2171630,1,Action
2171630,23,Indie
2171630,25,Adventure
2171630,28,Simulation
2171630,3,RPG
2174300,23,Indie
2174300,4,Casual
2174300,70,Early Access
2176710,1,Action
2176710,70,Early Access
2177940,1,Action
2177940,18,Sports
2177940,4,Casual
2179390,23,Indie
2179390,25,Adventure
2182990,23,Indie
2182990,25,Adventure
2182990,4,Casual
2183670,23,Indie
2183670,28,Simulation
2183670,4,Casual
2183670,70,Early Access
2185030,23,Indie
2185030,28,Simulation
2185030,4,Casual
2186270,23,Indie
2186270,3,RPG
2186270,4,Casual
2192780,1,Action
2192780,23,Indie
2192780,3,RPG
2192780,4,Casual
2201910,1,Action
2201910,25,Adventure
2201910,3,RPG
2204560,1,Action
2208840,2,Strategy
2208840,23,Indie
2208840,28,Simulation
2212790,25,Adventure
2212790,4,Casual
2212790,70,Early Access
2212830,2,Strategy
2212830,23,Indie
2212830,4,Casual
2217720,1,Action
2217720,25,Adventure
2218400,1,Action
2218400,23,Indie
2218400,25,Adventure
2218400,4,Casual
2221390,1,Action
2221390,23,Indie
2221390,70,Early Access
2221780,1,Action
2221780,23,Indie
2228490,1,Action
