appid,total_reviews,positive_reviews,negative_reviews,positive_rate,review_score,review_score_desc,review_language,review_purchase_type,review_type,filter_offtopic_activity,day_range,review_collected_at,review_status,schema_error,http_status,request_retry_count,request_latency_seconds,http_429_count,http_5xx_count,transport_error_count
1330360,409,242,167,0.5916870415647921,5,Mixed,all,steam,all,1,365,2026-09-13T18:42:36.546062+00:00,success,,200,0,2.188000000000102,0,0,0
1342490,1831,1158,673,0.6324412889131622,5,Mixed,all,steam,all,1,365,2026-09-13T18:42:38.785361+00:00,success,,200,0,2.219000000000051,0,0,0
1342690,413,374,39,0.9055690072639225,8,Very Positive,all,steam,all,1,365,2026-09-13T18:42:40.918563+00:00,success,,200,0,2.0,0,0,0
1344550,83,49,34,0.5903614457831325,5,Mixed,all,steam,all,1,365,2026-09-13T18:42:43.106642+00:00,success,,200,0,2.1870000000001255,0,0,0
1380990,74,74,0,1.0,8,Very Positive,all,steam,all,1,365,2026-09-13T18:42:45.127632+00:00,success,,200,0,2.063000000000102,0,0,0
1386750,311,296,15,0.9517684887459807,8,Very Positive,all,steam,all,1,365,2026-09-13T18:42:47.305959+00:00,success,,200,0,2.0629999999998745,0,0,0
1395520,3644,3466,178,0.9511525795828759,9,Overwhelmingly Positive,all,steam,all,1,365,2026-09-13T18:42:49.420531+00:00,success,,200,0,2.109000000000151,0,0,0
1408090,11,3,8,0.2727272727272727,4,Mostly Negative,all,steam,all,1,365,2026-09-13T18:42:51.546231+00:00,success,,200,0,2.0310000000001764,0,0,0
1408730,5,4,1,0.8,0,5 user reviews,all,steam,all,1,365,2026-09-13T18:42:53.741406+00:00,success,,200,0,2.2029999999999745,0,0,0
1410450,0,0,0,,0,No user reviews,all,steam,all,1,365,2026-09-13T18:42:55.778757+00:00,success,,200,0,1.905999999999949,0,0,0
1421250,27145,22663,4482,0.8348867194695155,8,Very Positive,all,steam,all,1,365,2026-09-13T18:42:58.029838+00:00,success,,200,0,2.1720000000000255,0,0,0
1423630,4,3,1,0.75,0,4 user reviews,all,steam,all,1,365,2026-09-13T18:43:00.091744+00:00,success,,200,0,2.1720000000000255,0,0,0
1425980,1524,1447,77,0.949475065616798,8,Very Positive,all,steam,all,1,365,2026-09-13T18:43:02.205414+00:00,success,,200,0,1.9839999999999236,0,0,0
1427070,3,3,0,1.0,0,3 user reviews,all,steam,all,1,365,2026-09-13T18:43:04.282373+00:00,success,,200,0,2.046000000000049,0,0,0
1447820,152,141,11,0.9276315789473685,8,Very Positive,all,steam,all,1,365,2026-09-13T18:43:06.302181+00:00,success,,200,0,1.9689999999998236,0,0,0
1449110,8398,6147,2251,0.7319599904739224,6,Mostly Positive,all,steam,all,1,365,2026-09-13T18:43:08.470076+00:00,success,,200,0,2.25,0,0,0
1456570,23,18,5,0.782608695652174,6,Mostly Positive,all,steam,all,1,365,2026-09-13T18:43:10.706948+00:00,success,,200,0,2.1089999999999236,0,0,0
1471650,489,426,63,0.8711656441717791,8,Very Positive,all,steam,all,1,365,2026-09-13T18:43:12.960742+00:00,success,,200,0,2.1870000000001255,0,0,0
1476400,60,48,12,0.8,8,Very Positive,all,steam,all,1,365,2026-09-13T18:43:15.066023+00:00,success,,200,0,2.125,0,0,0
1509970,0,0,0,,0,No user reviews,all,steam,all,1,365,2026-09-13T18:43:17.068672+00:00,success,,200,0,1.8910000000000764,0,0,0
1517560,15,15,0,1.0,7,Positive,all,steam,all,1,365,2026-09-13T18:43:19.123413+00:00,success,,200,0,2.25,0,0,0
1533140,5,4,1,0.8,0,5 user reviews,all,steam,all,1,365,2026-09-13T18:43:21.342960+00:00,success,,200,0,1.9849999999999,0,0,0
1538550,1848,1637,211,0.8858225108225108,8,Very Positive,all,steam,all,1,365,2026-09-13T18:43:23.509372+00:00,success,,200,0,2.155999999999949,0,0,0
1541370,627,553,74,0.8819776714513556,8,Very Positive,all,steam,all,1,365,2026-09-13T18:43:25.685730+00:00,success,,200,0,2.1560000000001764,0,0,0
1548180,197,153,44,0.7766497461928934,6,Mostly Positive,all,steam,all,1,365,2026-09-13T18:43:27.898313+00:00,success,,200,0,2.171999999999798,0,0,0
1556010,73,69,4,0.9452054794520548,8,Very Positive,all,steam,all,1,365,2026-09-13T18:43:29.939784+00:00,success,,200,0,2.0160000000000764,0,0,0
1558800,102,94,8,0.9215686274509803,8,Very Positive,all,steam,all,1,365,2026-09-13T18:43:31.975018+00:00,success,,200,0,2.109000000000151,0,0,0
1560160,75,72,3,0.96,8,Very Positive,all,steam,all,1,365,2026-09-13T18:43:34.119674+00:00,success,,200,0,1.9849999999999,0,0,0
1567530,19,17,2,0.8947368421052632,7,Positive,all,steam,all,1,365,2026-09-13T18:43:36.362069+00:00,success,,200,0,2.25,0,0,0
1574570,236,207,29,0.8771186440677966,8,Very Positive,all,steam,all,1,365,2026-09-13T18:43:38.362159+00:00,success,,200,0,2.046999999999798,0,0,0
