"appid","is_free","total_reviews","positive_reviews","negative_reviews","computed_positive_rate","current_price_usd","log1p_current_price","days_since_release","z_log1p_price","z_days_since_release","platform_segment","genre_action","genre_adventure","genre_casual","genre_indie","genre_rpg","genre_simulation","genre_strategy","high_rating_80","high_rating_85","high_rating_90"
2115390,0,775,634,141,0.818064516129032,9.99,2.39698576841553,338,0.162848330158823,-0.186143497229253,"Windows only",1,1,0,1,0,0,0,1,0,0
2115490,0,37,36,1,0.972972972972973,9.09,2.31154483436552,311,0.0446125792357895,-0.726337765609141,"Windows only",1,1,0,1,0,0,0,1,1,1
2122880,0,88,63,25,0.715909090909091,12.99,2.63834278867739,306,0.49684548092151,-0.826373741235046,"Windows only",0,1,1,1,0,0,0,0,0,0
2126190,0,1899,1327,572,0.698788836229595,14.99,2.77196352684586,306,0.681753903235711,-0.826373741235046,"Windows only",0,1,1,1,0,0,0,0,0,0
2135960,0,86,79,7,0.918604651162791,9.99,2.39698576841553,415,0.162848330158823,1.35441052740969,"Windows only",1,0,0,0,0,0,0,1,1,1
2158690,0,31,30,1,0.967741935483871,14.99,2.77196352684586,425,0.681753903235711,1.5544824786615,"Windows only",1,1,0,1,1,0,0,1,1,1
2165140,0,172,129,43,0.75,17.99,2.94391252482419,311,0.919702131710493,-0.726337765609141,"Windows only",1,1,0,0,0,1,0,0,0,0
2171630,0,1617,1218,399,0.753246753246753,16.99,2.88981604796244,423,0.844841789473412,1.51446808841113,"Windows only",1,1,0,1,1,1,0,0,0,0
2179390,0,33,28,5,0.848484848484849,7.99,2.19611284848353,359,-0.115125697072204,0.234007600399549,"Windows only",0,1,0,1,0,0,0,1,0,0
2183670,0,590,433,157,0.733898305084746,34.99,3.58324112209094,416,1.80442439773998,1.37441772253487,"Windows only",0,0,1,1,0,1,0,0,0,0
2185030,0,271,221,50,0.81549815498155,10.49,2.44147709186066,418,0.224416770340151,1.41443211278523,"Windows only",0,0,1,1,0,1,0,1,0,0
2186270,0,27,16,11,0.592592592592593,1.99,1.0952733874026,352,-1.63850066685453,0.0939572345232813,"Windows only",0,0,1,1,1,0,0,0,0,0
2201910,0,112,88,24,0.785714285714286,12.99,2.63834278867739,303,0.49684548092151,-0.886395326610589,"Windows only",1,1,0,0,1,0,0,0,0,0
2212790,0,552,499,53,0.903985507246377,12.99,2.63834278867739,298,0.49684548092151,-0.986431302236494,"Windows only",0,1,1,0,0,0,0,1,1,1
2217720,0,22,7,15,0.318181818181818,29.99,3.43366457179966,415,1.59743583961146,1.35441052740969,"Windows only",1,1,0,0,0,0,0,0,0,0
