"term","population","primary_estimate","estimate_log_odds","absolute_estimate_change","estimate_change_pct","primary_or","odds_ratio","or_change_pct","sign_change"
"platform_segmentWindows + Linux","minus_top1",0.489501892940622,0.489993446340711,0.000491553400088995,0.100419100963236,1.63150335418698,1.63230552234607,0.0491674232259154,FALSE
"platform_segmentWindows + macOS + Linux","minus_top1",0.418186289208533,0.418275858749039,8.95695405067065e-05,0.0214185741661276,1.5192036592902,1.51933973975814,0.00895735519776952,FALSE
"genre_action","minus_top1",-0.124687652573341,-0.125095400864109,0.000407748290768215,0.327015772895699,0.882772591274237,0.882412715633333,0.0407665172731386,FALSE
"genre_adventure","minus_top1",-0.00769169222379799,-0.00698190297054303,0.000709789253254962,9.22799863284809,0.992337813143636,0.99304241388844,0.0710041213256352,FALSE
"genre_casual","minus_top1",0.101220104036677,0.101650123528036,0.000430019491358125,0.424836049568083,1.10652016451714,1.1069960920772,0.043011196299414,FALSE
"genre_indie","minus_top1",0.135088797569527,0.134499650237916,0.000589147331610668,0.43611856957084,1.14463842094847,1.143964258887,0.0588973818398064,FALSE
"genre_rpg","minus_top1",-0.0871885170435569,-0.0869088607422569,0.000279656301300002,0.320749005468568,0.916504302664909,0.916760644710481,0.027969540876871,FALSE
"genre_simulation","minus_top1",-0.240956521086576,-0.240578215329865,0.000378305756710329,0.157001667771591,0.785875794671179,0.786173152250858,0.0378377323357659,FALSE
"genre_strategy","minus_top1",-0.191505968627869,-0.191171393284009,0.000334575343860749,0.174707528051457,0.825714696708024,0.825991006707285,0.0334631320433543,FALSE
"(Intercept)","minus_top1pct",1.64854789181884,1.65308304717746,0.0045351553586217,0.275100006565055,5.19942421628352,5.22305796373043,0.454545473956336,FALSE
"z_log1p_price","minus_top1pct",-0.073041801719825,-0.0803600138389407,0.00731821211911571,10.019210844753,0.92956197192452,0.922784071542344,0.729149920810923,FALSE
"z_days_since_release","minus_top1pct",-0.0174600802032998,-0.0267814434868231,0.00932136328352331,53.3867151524404,0.982691463725531,0.973573999212288,0.927805404829407,FALSE
"platform_segmentWindows + macOS","minus_top1pct",0.366529394137226,0.369516466266788,0.00298707212956212,0.814961140181783,1.44271880740164,1.44703475535682,0.299153787490969,FALSE
"platform_segmentWindows + Linux","minus_top1pct",0.489501892940622,0.492946962742202,0.00344506980158088,0.703790904849224,1.63150335418698,1.63713369000498,0.345101087506139,FALSE
"platform_segmentWindows + macOS + Linux","minus_top1pct",0.418186289208533,0.424553539675938,0.00636725046740538,1.52258709377014,1.5192036592902,1.52890767065045,0.638756449861777,FALSE
"genre_action","minus_top1pct",-0.124687652573341,-0.135748186930111,0.0110605343567699,8.87059314094004,0.882772591274237,0.873062453347258,1.09995915402898,FALSE
"genre_adventure","minus_top1pct",-0.00769169222379799,-0.0136123861923732,0.00592069396857517,76.9751804454242,0.992337813143636,0.986479843374106,0.590320120017651,FALSE
"genre_casual","minus_top1pct",0.101220104036677,0.100214790126081,0.00100531391059665,0.993195887481373,1.10652016451714,1.10540832337173,0.100480875186226,FALSE
"genre_indie","minus_top1pct",0.135088797569527,0.142037776860372,0.00694897929084551,5.14400854539329,1.14463842094847,1.15262019008655,0.697317947047793,FALSE
"genre_rpg","minus_top1pct",-0.0871885170435569,-0.0923723734069924,0.00518385636343559,5.9455723519714,0.916504302664909,0.911765569072312,0.517044336706152,FALSE
"genre_simulation","minus_top1pct",-0.240956521086576,-0.267581059969577,0.0266245388830018,11.0495199561068,0.785875794671179,0.765228298726093,2.6273230560212,FALSE
"genre_strategy","minus_top1pct",-0.191505968627869,-0.18123869377599,0.0102672748518794,5.36133412730888,0.825714696708024,0.834236207938172,1.03201641730748,FALSE
"(Intercept)","minus_top5pct",1.64854789181884,1.62346856868912,0.0250793231297226,1.52129781938289,5.19942421628352,5.07064773937997,2.47674495380175,FALSE
"z_log1p_price","minus_top5pct",-0.073041801719825,-0.104913639521053,0.0318718378012276,43.6350651966145,0.92956197192452,0.900402278400711,3.13692840332516,FALSE
"z_days_since_release","minus_top5pct",-0.0174600802032998,-0.0403935467664395,0.0229334665631397,131.348002392368,0.982691463725531,0.960411397968638,2.26724934318919,FALSE
"platform_segmentWindows + macOS","minus_top5pct",0.366529394137226,0.37968978497878,0.0131603908415539,3.5905417279103,1.44271880740164,1.46183103714229,1.32473699258637,FALSE
"platform_segmentWindows + Linux","minus_top5pct",0.489501892940622,0.502218350137707,0.0127164571970856,2.59783616375681,1.63150335418698,1.65238277150189,1.27976551573283,FALSE
"platform_segmentWindows + macOS + Linux","minus_top5pct",0.418186289208533,0.427726310599217,0.00954002139068466,2.28128507243513,1.5192036592902,1.53376624795293,0.958567244996189,FALSE
"genre_action","minus_top5pct",-0.124687652573341,-0.121245559506497,0.00344209306684343,2.76057251524468,0.882772591274237,0.885816412242521,0.344802387202603,FALSE
"genre_adventure","minus_top5pct",-0.00769169222379799,-0.00565096456747395,0.00204072765632404,26.5315823481607,0.992337813143636,0.994364972099486,0.20428113581894,FALSE
"genre_casual","minus_top5pct",0.101220104036677,0.0994453147854997,0.00177478925117779,1.75339599585344,1.10652016451714,1.10455806609358,0.177321524404928,FALSE
"genre_indie","minus_top5pct",0.135088797569527,0.163607157184289,0.0285183596147626,21.1108249742803,1.14463842094847,1.17775155296601,2.89289013993594,FALSE
"genre_rpg","minus_top5pct",-0.0871885170435569,-0.0981217417732849,0.010933224729728,12.5397530551714,0.916504302664909,0.906538533427107,1.08736742520732,FALSE
"genre_simulation","minus_top5pct",-0.240956521086576,-0.290193820061429,0.0492372989748529,20.4341010373245,0.785875794671179,0.74811855314174,4.8044795100525,FALSE
"genre_strategy","minus_top5pct",-0.191505968627869,-0.198883066322796,0.00737709769492673,3.85215027384434,0.825714696708024,0.819645731918875,0.734995369871072,FALSE
