"appid","name","is_free","positive_reviews","negative_reviews","total_reviews","raw_positive_rate","wilson_lower_95","wilson_center","wilson_upper_95","wilson_width","eb_posterior_mean","eb_ci95_lower","eb_ci95_upper","data_weight","prior_weight","eb_ci95_width","eb_shrinkage","absolute_shrinkage","eb_shrinkage_pp","raw_rank","wilson_rank","eb_rank","rank_change"
1517560,"Droplet: States of Matter",0,15,0,15,1,0.796116698964151,0.898058349482076,1,0.203883301035849,0.950404719723233,0.828026949892693,0.998490250764892,0.712016430428814,0.287983569571186,0.170463300872199,-0.049595280276767,0.049595280276767,-4.9595280276767,84,431,168,-84
1533140,"Prison Miner",0,4,1,5,0.8,0.375534629762525,0.669655260565048,0.96377589136757,0.588241261605044,0.815231472989642,0.551924429746717,0.973460575390088,0.451796495462645,0.548203504537355,0.421536145643371,0.0152314729896422,0.0152314729896422,1.52314729896422,1519,1426,1477,42
1538550,"LEGO<U+00AE> Voyagers",0,1637,211,1848,0.885822510822511,0.870515356573606,0.88502216083555,0.899528965097493,0.0290136085238879,0.885632596701839,0.870761746043309,0.899715598580598,0.996727772075699,0.00327222792430087,0.0289538525372892,-0.000189914120671819,0.000189914120671819,-0.0189914120671819,1243,214,718,525
1541370,"Ultimate Theater Simulator",0,553,74,627,0.881977671451356,0.854367725678812,0.879651648843317,0.904935572007822,0.0505678463290091,0.881458315431444,0.855184868093265,0.905450161530791,0.990416606369699,0.00958339363030121,0.0502652934375262,-0.000519356019911932,0.000519356019911932,-0.0519356019911932,1259,254,819,440
1548180,"Worship",0,153,44,197,0.776649746192893,0.713515149922769,0.771358315758183,0.829201481593597,0.115686331670828,0.778177469023779,0.718683036799887,0.83248392299112,0.970123497740231,0.0298765022597691,0.113800886191233,0.00152772283088587,0.00152772283088587,0.152772283088587,1578,669,1621,-43
1556010,"DriveCrazy",0,69,4,73,0.945205479452055,0.867410024578403,0.922948763581353,0.978487502584303,0.1110774780059,0.936195571221978,0.873195046582903,0.978549782249859,0.923268430775227,0.0767315692247728,0.105354735666956,-0.00900990823007652,0.00900990823007652,-0.900990823007652,986,221,285,701
1558800,"Forgot",0,94,8,102,0.92156862745098,0.852812727587109,0.906268020859824,0.95972331413254,0.106910586545431,0.916303532336612,0.857547548184415,0.960551174900095,0.943859517393089,0.0561404826069106,0.103003626715681,-0.00526509511436835,0.00526509511436835,-0.526509511436835,1093,258,446,647
1560160,"ILA: A Frosty Glide",0,72,3,75,0.96,0.888870129175963,0.937587032457909,0.986303935739856,0.0974338065638936,0.950105174846923,0.893587389329111,0.98593269267635,0.925161473218597,0.074838526781403,0.0923453033472392,-0.00989482515307649,0.00989482515307649,-0.989482515307649,916,159,179,737
1567530,"Vlad Circus: Curse of Asmodeus",0,17,2,19,0.894736842105263,0.68605917288891,0.82835030629502,0.97064143970113,0.28458226681222,0.878532379989422,0.728206379597768,0.972670283317808,0.757970773364418,0.242029226635582,0.24446390372004,-0.0162044621158413,0.0162044621158413,-1.62044621158413,1204,729,833,371
1574570,"Choice of Life: Samosbor",0,207,29,236,0.877118644067797,0.829092945068309,0.871078463405013,0.913063981741718,0.0839710366734092,0.875882177176438,0.831608101101836,0.914281229201263,0.974936974699476,0.0250630253005237,0.0826731280994271,-0.00123646689135837,0.00123646689135837,-0.123646689135837,1268,336,840,428
1575810,"Wander Stars",0,136,11,147,0.925170068027211,0.870979644783385,0.914342320000326,0.957704995217267,0.0867253504338823,0.921310107218285,0.873894731645382,0.958344051046227,0.960364204096055,0.039635795903945,0.0844493194008449,-0.00385996080892625,0.00385996080892625,-0.385996080892625,1071,212,393,678
1583540,"Meco Rocket Simulator",0,12,3,15,0.8,0.548145512848306,0.738835009689245,0.929524506530184,0.381378993681878,0.80800143363747,0.619491074235245,0.94163851496943,0.712016430428814,0.287983569571186,0.322147440734185,0.00800143363747019,0.00800143363747019,0.800143363747019,1503,1091,1522,-19
1594040,"Wreckreation",0,229,130,359,0.637883008356546,0.586949593245739,0.63642321955403,0.685896845862321,0.0989472526165818,0.641038917363177,0.591199729549075,0.689414298232083,0.983381322467451,0.0166186775325491,0.0982145686830082,0.00315590900663121,0.00315590900663121,0.315590900663121,1860,987,2079,-219
1599420,"Rusty Rangers",0,24,3,27,0.888888888888889,0.719421991817202,0.840450821767052,0.961479651716902,0.2420576598997,0.877677778722419,0.748424810453346,0.964200002893209,0.816525765849317,0.183474234150683,0.215775192439864,-0.0112111101664694,0.0112111101664694,-1.12111101664694,1224,649,834,390
1605250,"Moros Protocol",0,588,137,725,0.811034482758621,0.780926687239413,0.809395132879613,0.837863578519814,0.0569368912804005,0.811173485365657,0.782033561827908,0.838701089463863,0.991701266553012,0.00829873344698743,0.0566675276359548,0.000139002607036476,0.000139002607036476,0.0139002607036476,1479,475,1504,-25
1620730,"Hell is Us",0,3564,690,4254,0.837799717912553,0.826418167923169,0.837494952289278,0.848571736655387,0.0221535687322183,0.837785454618394,0.826567779652382,0.848702739254058,0.998575860501541,0.00142413949845936,0.0221349596016757,-1.42632941592113e-05,1.42632941592113e-05,-0.00142632941592113,1397,341,1395,2
1622630,"Otherskin",0,44,19,63,0.698412698412698,0.576396276864404,0.687009682621259,0.797623088378115,0.221226811513711,0.709776872971401,0.598198878476601,0.809850805706764,0.912158689877401,0.0878413101225991,0.211651927230163,0.0113641745587026,0.0113641745587026,1.13641745587026,1750,1002,1939,-189
1623120,"Chaos on Wheels",0,23,11,34,0.676470588235294,0.508428945939082,0.658556255149414,0.808683564359745,0.300254618420663,0.699382498154317,0.550719563156651,0.829202939990696,0.84858012221008,0.151419877789921,0.278483376834045,0.0229119099190233,0.0229119099190233,2.29119099190233,1769,1198,1952,-183
1639710,"SquareMan-Boy",0,6,0,6,1,0.609665712097835,0.804832856048917,1,0.390334287902165,0.913414570778272,0.709988022926607,0.997261605765302,0.497226735266432,0.502773264733568,0.287273582838695,-0.0865854292217277,0.0865854292217277,-8.65854292217277,218,912,457,-239
1644700,"Magic Boy",0,4,1,5,0.8,0.375534629762525,0.669655260565048,0.96377589136757,0.588241261605044,0.815231472989642,0.551924429746717,0.973460575390088,0.451796495462645,0.548203504537355,0.421536145643371,0.0152314729896422,0.0152314729896422,1.52314729896422,1520,1427,1478,42
1645630,"FEROCIOUS",0,465,272,737,0.630936227951153,0.595502730376841,0.630257288993536,0.665011847610232,0.069509117233391,0.632543436657496,0.597575608750934,0.666835444181707,0.991835285168832,0.00816471483116763,0.069259835430773,0.00160720870634257,0.00160720870634257,0.160720870634257,1870,977,2096,-226
1652400,"Developer Daily",0,5,1,6,0.833333333333333,0.43649717781353,0.703221904032612,0.969946630251693,0.533449452438163,0.830543448233867,0.584163438104136,0.975953731492499,0.497226735266432,0.502773264733568,0.391790293388363,-0.00278988509946654,0.00278988509946654,-0.278988509946654,1417,1362,1422,-5
1657630,"Slime Rancher 2",0,41078,2405,43483,0.944691028677874,0.942503003618302,0.944651746398056,0.94680048917781,0.00429748555950837,0.944674719644524,0.942506824677342,0.946803877059804,0.999860495292062,0.000139504707937743,0.00429705238246214,-1.63090333504812e-05,1.63090333504812e-05,-0.00163090333504812,988,57,221,767
