"model","population","term","estimate_log_odds","std_error","statistic","p_value","ci95_lower_logit","ci95_upper_logit","odds_ratio","or_ci95_lower","or_ci95_upper"
"Quasibinomial","full","genre_rpg",-0.23032194310162,0.0669770866376357,-3.43881698449687,0.000613624040577045,-0.361787959422797,-0.0988559267804431,0.79427784906224,0.696430023610898,0.905873210692328
"Quasibinomial","full","genre_simulation",0.303380170883444,0.0709449251039155,4.27627727337893,2.12328710130608e-05,0.164125880351567,0.442634461415321,1.3544292811533,1.17836263846023,1.55680315869703
"Quasibinomial","full","genre_strategy",-0.124238694681526,0.0741841683818148,-1.67473326710476,0.0943664829149294,-0.269851135903721,0.0213737465406689,0.883169007976312,0.763493142594258,1.02160380118092
"Beta-binomial","full","(Intercept)",1.64854789181884,0.0794798988941229,20.7416958848288,1.45697355345198e-95,1.49277015249147,1.80432563114621,5.19942421628352,4.44940399051104,6.07587268733727
"Beta-binomial","full","z_log1p_price",-0.073041801719825,0.0321653648798977,-2.27082148741529,0.0231577866329749,-0.136084758434014,-0.00999884500563598,0.92956197192452,0.872768654849208,0.990050977251806
"Beta-binomial","full","z_days_since_release",-0.0174600802032998,0.0305968706652562,-0.570649214238969,0.568237450919974,-0.077428844746832,0.0425086843402324,0.982691463725531,0.925492875733653,1.04342511779306
"Beta-binomial","full","platform_segmentWindows + macOS",0.366529394137226,0.108335783042241,3.38327174867341,0.000716277193934566,0.154195161137488,0.578863627136964,1.44271880740164,1.16671856268279,1.7840099779027
"Beta-binomial","full","platform_segmentWindows + Linux",0.489501892940622,0.165771745677179,2.95286685279811,0.0031483772814442,0.164595241759016,0.814408544122227,1.63150335418698,1.17891584622374,2.25783986469395
"Beta-binomial","full","platform_segmentWindows + macOS + Linux",0.418186289208533,0.112872125151793,3.70495628257329,0.000211427195007778,0.196960989052522,0.639411589364544,1.5192036592902,1.2176965362837,1.89536529802776
"Beta-binomial","full","genre_action",-0.124687652573341,0.0655244490550493,-1.90291798514149,0.057051247789256,-0.253113212828067,0.00373790768138531,0.882772591274237,0.776379980674796,1.00374490237075
"Beta-binomial","full","genre_adventure",-0.00769169222379799,0.062609422945589,-0.122851990354271,0.902224303688343,-0.130403906289988,0.115020521842392,0.992337813143636,0.877740834269532,1.12189646071805
"Beta-binomial","full","genre_casual",0.101220104036677,0.0669988654247709,1.5107734048173,0.130846192850203,-0.0300952592009193,0.232535467274274,1.10652016451714,0.970353094085371,1.26179519800174
"Beta-binomial","full","genre_indie",0.135088797569527,0.0693213076172242,1.94873412249312,0.0513271845718262,-0.000778468721454761,0.270956063860508,1.14463842094847,0.999221834206709,1.3112174592858
"Beta-binomial","full","genre_rpg",-0.0871885170435569,0.0692183669455894,-1.25961534331044,0.207808157820386,-0.22285402332559,0.0484769892384761,0.916504302664909,0.800231655924715,1.04967121780835
"Beta-binomial","full","genre_simulation",-0.240956521086576,0.0651969181172537,-3.69582685876695,0.000219172305188097,-0.3687401324994,-0.113172909673752,0.785875794671179,0.691605112791962,0.892996239077594
"Beta-binomial","full","genre_strategy",-0.191505968627869,0.0746344036460413,-2.56592079888652,0.0102902321307193,-0.337786711781735,-0.0452252254740035,0.825714696708024,0.713347420273958,0.955782191092498
"Quasibinomial","minus_top1","(Intercept)",1.66028308307247,0.0778166591862087,21.3358309189239,1.01130569660654e-80,1.50754033134035,1.81302583480459,5.26079987706985,4.51561021852129,6.12896463761683
"Quasibinomial","minus_top1","z_log1p_price",-0.0212547274734018,0.0399605445997169,-0.531892837955777,0.594943936001332,-0.0996914479225449,0.0571819929757413,0.978969562362853,0.905116650577729,1.05884849584989
"Quasibinomial","minus_top1","z_days_since_release",0.267037565954352,0.0348423698853848,7.66416196236884,5.07310771371869e-14,0.198647075938234,0.33542805597047,1.306089509908,1.21975141030556,1.39853891004264
"Quasibinomial","minus_top1","platform_segmentWindows + macOS",0.299242149566059,0.0799207943656723,3.74423392486436,0.000193555087904074,0.142369287383442,0.456115011748675,1.34883620403214,1.1530023591517,1.57793181502801
"Quasibinomial","minus_top1","platform_segmentWindows + Linux",0.909168174087388,0.12963691859432,7.01318871156218,4.86513036191104e-12,0.654709811581913,1.16362653659286,2.48225686878204,1.92458394436428,3.20152268788198
"Quasibinomial","minus_top1","platform_segmentWindows + macOS + Linux",0.431032114345638,0.172346714808425,2.50095927169113,0.012579302101187,0.0927406514747234,0.769323577216553,1.53884496816253,1.09717714709085,2.15830583267068
"Quasibinomial","minus_top1","genre_action",-0.0780144586901974,0.0593221577021019,-1.31509813048208,0.188843663457263,-0.194455201596207,0.0384262842158118,0.924951052866135,0.823283059197336,1.03917412199916
"Quasibinomial","minus_top1","genre_adventure",0.209331661564451,0.0684018970790036,3.06031953065095,0.00228286680935206,0.0750687146221593,0.343594608506743,1.23285382095816,1.07795821983157,1.41000691482145
"Quasibinomial","minus_top1","genre_casual",0.215926898338134,0.0755642297398095,2.85752794783505,0.00437737790969612,0.0676053370724684,0.3642484596038,1.24101165567027,1.06994295832106,1.4394318103894
