"specification_id","appid","is_free","total_reviews","positive_reviews","negative_reviews"
"TH_GT0",2870530,0,346,313,33
"TH_GT0",2870920,0,1630,1461,169
"TH_GT0",2871820,0,45,39,6
"TH_GT0",2873860,0,36,34,2
"TH_GT0",2875000,0,2,2,0
"TH_GT0",2876200,0,43,35,8
"TH_GT0",2877170,0,1241,1128,113
"TH_GT0",2877660,0,164,138,26
"TH_GT0",2878450,0,3807,3508,299
"TH_GT0",2879980,0,277,243,34
"TH_GT0",2881170,0,1,1,0
"TH_GT0",2886690,0,2,2,0
"TH_GT0",2886700,0,6,5,1
"TH_GT0",2891580,0,16,16,0
"TH_GT0",2892040,0,41,41,0
"TH_GT0",2892560,0,2,2,0
"TH_GT0",2893530,0,25,17,8
"TH_GT0",2893820,0,6044,3999,2045
"TH_GT0",2896350,0,6,3,3
"TH_GT0",2896570,0,42,39,3
"TH_GT0",2897520,0,3,3,0
"TH_GT0",2899300,0,1,1,0
"TH_GT0",2902440,0,130,114,16
"TH_GT0",2903160,0,463,439,24
"TH_GT0",2903240,0,16,16,0
"TH_GT0",2904360,0,29,26,3
"TH_GT0",2904420,0,26,20,6
"TH_GT0",2905160,0,2,2,0
"TH_GT0",2905650,0,5,5,0
"TH_GT0",2906270,0,54,54,0
"TH_GT0",2908050,0,1195,1163,32
"TH_GT0",2908500,0,686,573,113
"TH_GT0",2908830,0,10,10,0
"TH_GT0",2909870,0,46,24,22
"TH_GT0",2912770,0,14,14,0
"TH_GT0",2914490,0,57,41,16
"TH_GT0",2915660,0,175,121,54
"TH_GT0",2917040,0,1573,1393,180
"TH_GT0",2920010,0,13,13,0
"TH_GT0",2920510,0,56,50,6
"TH_GT0",2923120,0,4,4,0
"TH_GT0",2924080,0,9,9,0
"TH_GT0",2925970,0,371,271,100
"TH_GT0",2928690,0,107,80,27
"TH_GT0",2929880,0,3,1,2
"TH_GT0",2930290,0,25,25,0
"TH_GT0",2931620,0,219,210,9
"TH_GT0",2932990,0,21,17,4
"TH_GT0",2934220,0,2698,2145,553
"TH_GT0",2936470,0,10,9,1
"TH_GT0",2937090,0,155,88,67
"TH_GT0",2937770,0,17,10,7
"TH_GT0",2943250,0,2,2,0
"TH_GT0",2943420,0,256,206,50
"TH_GT0",2943670,0,288,172,116
"TH_GT0",2948470,0,5,5,0
"TH_GT0",2949560,0,2,1,1
"TH_GT0",2952970,0,34,26,8
"TH_GT0",2955840,0,49,40,9
"TH_GT0",2957700,0,1300,1130,170
"TH_GT0",2958130,0,11304,10572,732
"TH_GT0",2963220,0,5,4,1
"TH_GT0",2964580,0,6,5,1
"TH_GT0",2967630,0,188,173,15
"TH_GT0",2968420,0,10838,9924,914
"TH_GT0",2973830,0,157,135,22
"TH_GT0",2977680,0,4,4,0
"TH_GT0",2978460,0,8,8,0
"TH_GT0",2979020,0,6,6,0
"TH_GT0",2981070,0,360,307,53
"TH_GT0",2981450,0,351,332,19
"TH_GT0",2983410,0,416,354,62
"TH_GT0",2985450,0,43,33,10
"TH_GT0",2986340,0,9,9,0
"TH_GT0",2987110,0,27,26,1
"TH_GT0",2995560,0,110,87,23
"TH_GT0",2996290,0,5,4,1
"TH_GT0",2998130,0,2,0,2
"TH_GT0",2999220,0,2,2,0
"TH_GT0",3001330,0,278,232,46
"TH_GT0",3002400,0,20,15,5
"TH_GT0",3002630,0,1,1,0
"TH_GT0",3003730,0,36,22,14
"TH_GT0",3004860,0,2,2,0
"TH_GT0",3006080,0,19,14,5
"TH_GT0",3006280,0,306,301,5
"TH_GT0",3008340,0,381,262,119
"TH_GT0",3008800,0,24,24,0
"TH_GT0",3008950,0,4,3,1
"TH_GT0",3012220,0,157,99,58
"TH_GT0",3013500,0,51,50,1
"TH_GT0",3014460,0,7,7,0
"TH_GT0",3015920,0,25,21,4
"TH_GT0",3019870,0,55,53,2
"TH_GT0",3022560,0,2,0,2
"TH_GT0",3024040,0,10580,9813,767
"TH_GT0",3024370,0,53,48,5
"TH_GT0",3026650,0,1,1,0
"TH_GT0",3027310,0,2,1,1
"TH_GT0",3029500,0,5,2,3
"TH_GT0",3030130,0,2,2,0
"TH_GT0",3032010,0,120,106,14
"TH_GT0",3032520,0,22,22,0
"TH_GT0",3033080,0,17,17,0
"TH_GT0",3034350,0,21,11,10
"TH_GT0",3034530,0,18,18,0
"TH_GT0",3035320,0,14,13,1
"TH_GT0",3035880,0,63,59,4
"TH_GT0",3036320,0,2,0,2
"TH_GT0",3036800,0,76,71,5
"TH_GT0",3037480,0,2,2,0
"TH_GT0",3038530,0,12,11,1
"TH_GT0",3039910,0,459,355,104
"TH_GT0",3040110,0,5,5,0
"TH_GT0",3040180,0,53,45,8
"TH_GT0",3040670,0,5,5,0
"TH_GT0",3042280,0,5,5,0
"TH_GT0",3042560,0,4,4,0
"TH_GT0",3043580,0,1021,930,91
"TH_GT0",3044220,0,90,62,28
"TH_GT0",3045660,0,104,92,12
"TH_GT0",3047090,0,5,5,0
"TH_GT0",3047310,0,42,33,9
"TH_GT0",3047510,0,182,182,0
"TH_GT0",3051240,0,9,6,3
"TH_GT0",3051490,0,39,36,3
"TH_GT0",3052320,0,1,0,1
"TH_GT0",3054820,0,1941,1917,24
"TH_GT0",3055230,0,432,314,118
"TH_GT0",3055530,0,20,20,0
"TH_GT0",3058360,0,425,399,26
"TH_GT0",3059160,0,3,3,0
"TH_GT0",3061100,0,1,1,0
"TH_GT0",3061370,0,8,8,0
"TH_GT0",3062040,0,4,4,0
"TH_GT0",3064730,0,1,0,1
"TH_GT0",3065870,0,79,53,26
"TH_GT0",3067620,0,27,23,4
"TH_GT0",3067970,0,7,6,1
"TH_GT0",3068670,0,224,205,19
"TH_GT0",3069360,0,1,1,0
"TH_GT0",3070390,0,108,108,0
"TH_GT0",3070650,0,27,25,2
"TH_GT0",3070880,0,830,656,174
"TH_GT0",3075800,0,190,146,44
"TH_GT0",3076240,0,134,107,27
"TH_GT0",3077570,0,701,626,75
"TH_GT0",3078670,0,5,5,0
"TH_GT0",3080530,0,141,132,9
"TH_GT0",3083990,0,50,48,2
"TH_GT0",3084740,0,74,73,1
"TH_GT0",3085200,0,12,9,3
"TH_GT0",3086120,0,61,51,10
"TH_GT0",3086580,0,100,77,23
"TH_GT0",3094480,0,604,434,170
"TH_GT0",3096410,0,3,2,1
"TH_GT0",3098140,0,1672,1034,638
"TH_GT0",3098170,0,108,90,18
"TH_GT0",3098380,0,5,2,3
"TH_GT0",3099630,0,169,156,13
"TH_GT0",3100580,0,11,7,4
"TH_GT0",3101040,0,29730,28728,1002
"TH_GT0",3102750,0,47,42,5
"TH_GT0",3108990,0,27,17,10
"TH_GT0",3109070,0,9,5,4
"TH_GT0",3109280,0,327,249,78
"TH_GT0",3109830,0,10,8,2
"TH_GT0",3110450,0,89,74,15
"TH_GT0",3111670,0,2,2,0
"TH_GT0",3113650,0,22,22,0
"TH_GT0",3114280,0,7,7,0
"TH_GT0",3114900,0,1452,1212,240
"TH_GT0",3119050,0,49,36,13
"TH_GT0",3120410,0,10,9,1
"TH_GT0",3120890,0,23,21,2
"TH_GT0",3121630,0,1,1,0
"TH_GT0",3121720,0,1,1,0
"TH_GT0",3121860,0,5,3,2
"TH_GT0",3126880,0,26,19,7
"TH_GT0",3127000,0,307,273,34
"TH_GT0",3130800,0,208,208,0
"TH_GT0",3131880,0,4,4,0
"TH_GT0",3134570,0,29,25,4
"TH_GT0",3135270,0,26,19,7
"TH_GT0",3136490,0,46,37,9
"TH_GT0",3141140,0,41,37,4
"TH_GT0",3141310,0,616,540,76
"TH_GT0",3141330,0,168,134,34
"TH_GT0",3143300,0,81,80,1
"TH_GT0",3143570,0,17,15,2
"TH_GT0",3144520,0,2,1,1
"TH_GT0",3146630,0,1,0,1
"TH_GT0",3148060,0,572,556,16
"TH_GT0",3151420,0,45,34,11
"TH_GT0",3154800,0,174,164,10
"TH_GT0",3154910,0,1,0,1
"TH_GT0",3158600,0,2,2,0
"TH_GT0",3160110,0,13,11,2
"TH_GT0",3160500,0,74,54,20
"TH_GT0",3164400,0,39,38,1
"TH_GT0",3166730,0,1,1,0
"TH_GT0",3167020,0,83387,71481,11906
"TH_GT0",3167260,0,381,364,17
"TH_GT0",3167280,0,195,158,37
"TH_GT0",3168400,0,23,22,1
"TH_GT0",3168690,0,10,8,2
"TH_GT0",3168930,0,34,20,14
"TH_GT0",3169180,0,11,8,3
"TH_GT0",3172770,0,51,43,8
"TH_GT0",3180070,0,27097,25246,1851
"TH_GT0",3181260,0,12,12,0
"TH_GT0",3183220,0,98,59,39
"TH_GT0",3183410,0,87,80,7
"TH_GT0",3184990,0,272,197,75
"TH_GT0",3185010,0,15,15,0
"TH_GT0",3185230,0,8,8,0
"TH_GT0",3185890,0,1132,1082,50
"TH_GT0",3186120,0,184,154,30
"TH_GT0",3187010,0,721,693,28
"TH_GT0",3188460,0,1,1,0
"TH_GT0",3192970,0,19,19,0
"TH_GT0",3194360,0,853,704,149
"TH_GT0",3196520,0,79,63,16
"TH_GT0",3198760,0,1,1,0
"TH_GT0",3199430,0,66,61,5
"TH_GT0",3200060,0,175,148,27
"TH_GT0",3200220,0,52,33,19
"TH_GT0",3202400,0,17,16,1
"TH_GT0",3202430,0,1,1,0
"TH_GT0",3202950,0,53,50,3
"TH_GT0",3203160,0,1,1,0
"TH_GT0",3204140,0,5,5,0
"TH_GT0",3205360,0,1,1,0
"TH_GT0",3205410,0,2,2,0
"TH_GT0",3206550,0,11,8,3
"TH_GT0",3208730,0,12,11,1
"TH_GT0",3209480,0,2409,2150,259
"TH_GT0",3210590,0,5,5,0
